Adjacency Matrix (10x10):
          0       1       2       3       4       5       6       7       8       9
 0     0.00    0.00  166.97   26.42    0.00    0.00  107.97    0.00    0.00  316.62
 1     0.00    0.00  319.78    0.00  126.09    0.00    0.00  405.31    0.00    0.00
 2   166.97  319.78    0.00  192.34  344.45    0.00  151.33    0.00  420.30    0.00
 3    26.42    0.00  192.34    0.00  391.95  380.55  128.00    0.00  323.47    0.00
 4     0.00  126.09  344.45  391.95    0.00    0.00    0.00  471.96  280.22  201.64
 5     0.00    0.00    0.00  380.55    0.00    0.00    0.00    0.00    0.00  214.28
 6   107.97    0.00  151.33  128.00    0.00    0.00    0.00  211.01  270.25    0.00
 7     0.00  405.31    0.00    0.00  471.96    0.00  211.01    0.00  445.12    0.00
 8     0.00    0.00  420.30  323.47  280.22    0.00  270.25  445.12    0.00    0.00
 9   316.62    0.00    0.00    0.00  201.64  214.28    0.00    0.00    0.00    0.00
