Adjacency Matrix (11x11):
          0       1       2       3       4       5       6       7       8       9      10
 0     0.00  364.30    0.00  429.91  195.25  166.09  390.37    0.00  236.24    0.00  220.05
 1   364.30    0.00    0.00    0.00  169.92  396.56  106.51   96.80  138.01  419.32    0.00
 2     0.00    0.00    0.00    0.00  238.85  419.64  190.16  191.38    0.00  422.90  224.29
 3   429.91    0.00    0.00    0.00    0.00  415.02  220.05    0.00  195.53    0.00  240.80
 4   195.25  169.92  238.85    0.00    0.00  261.28  203.53  126.70   65.80  311.27   27.89
 5   166.09  396.56  419.64  415.02  261.28    0.00  460.44  385.77    0.00   87.09    0.00
 6   390.37  106.51  190.16  220.05  203.53  460.44    0.00    0.00  205.30  497.80  175.79
 7     0.00   96.80  191.38    0.00  126.70  385.77    0.00    0.00  137.64  427.73   98.84
 8   236.24  138.01    0.00  195.53   65.80    0.00  205.30  137.64    0.00  292.50   70.46
 9     0.00  419.32  422.90    0.00  311.27   87.09  497.80  427.73  292.50    0.00  336.81
10   220.05    0.00  224.29  240.80   27.89    0.00  175.79   98.84   70.46  336.81    0.00
