Adjacency Matrix (12x12):
          0       1       2       3       4       5       6       7       8       9      10      11
 0     0.00    0.00    0.00    0.00    0.00    0.00    0.00  237.19    0.00    0.00    0.00  384.70
 1     0.00    0.00    0.00    0.00    0.00  134.63  154.77   24.33  394.55    0.00    0.00    0.00
 2     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  438.99  384.24    0.00
 3     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  309.18    0.00    0.00
 4     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  200.83    0.00
 5     0.00  134.63    0.00    0.00    0.00    0.00    0.00  124.82    0.00    0.00    0.00    0.00
 6     0.00  154.77    0.00    0.00    0.00    0.00    0.00    0.00  369.49    0.00  152.21    0.00
 7   237.19   24.33    0.00    0.00    0.00  124.82    0.00    0.00    0.00  133.15   59.14    0.00
 8     0.00  394.55    0.00    0.00    0.00    0.00  369.49    0.00    0.00    0.00  461.59    0.00
 9     0.00    0.00  438.99  309.18    0.00    0.00    0.00  133.15    0.00    0.00    0.00    0.00
10     0.00    0.00  384.24    0.00  200.83    0.00  152.21   59.14  461.59    0.00    0.00    0.00
11   384.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
