Adjacency Matrix (13x13):
          0       1       2       3       4       5       6       7       8       9      10      11      12
 0     0.00    0.00    0.00  309.01    0.00    0.00    0.00  289.70    0.00    0.00    0.00  140.73   92.10
 1     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  325.10
 2     0.00    0.00    0.00    0.00    0.00    0.00    0.00  251.05    0.00  319.25  207.80    0.00    0.00
 3   309.01    0.00    0.00    0.00    0.00  578.42    0.00  539.48    0.00  395.61    0.00    0.00    0.00
 4     0.00    0.00    0.00    0.00    0.00    0.00    0.00  164.35    0.00    0.00    0.00    0.00  166.83
 5     0.00    0.00    0.00  578.42    0.00    0.00    0.00   48.66    0.00    0.00    0.00    0.00    0.00
 6     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  238.30    0.00    0.00    0.00  218.19
 7   289.70    0.00  251.05  539.48  164.35   48.66    0.00    0.00    0.00    0.00    0.00    0.00  212.08
 8     0.00    0.00    0.00    0.00    0.00    0.00  238.30    0.00    0.00    0.00    0.00    0.00    0.00
 9     0.00    0.00  319.25  395.61    0.00    0.00    0.00    0.00    0.00    0.00  364.31    0.00  260.60
10     0.00    0.00  207.80    0.00    0.00    0.00    0.00    0.00    0.00  364.31    0.00    0.00    0.00
11   140.73    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12    92.10  325.10    0.00    0.00  166.83    0.00  218.19  212.08    0.00  260.60    0.00    0.00    0.00
