Adjacency Matrix (14x14):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13
 0     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1     0.00    0.00    0.00    0.00    0.00    0.00  129.71    0.00    0.00    0.00    0.00  161.76    0.00    0.00
 2     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 3     0.00    0.00    0.00    0.00    0.00    0.00    0.00  163.88    0.00    0.00    0.00  146.11    0.00    0.00
 4     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  435.80    0.00
 5     0.00    0.00    0.00    0.00    0.00    0.00  273.39    0.00    0.00   89.14    0.00    0.00  310.58    0.00
 6     0.00  129.71    0.00    0.00    0.00  273.39    0.00    0.00  203.21    0.00    0.00    0.00    0.00  171.00
 7     0.00    0.00    0.00  163.88    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 8     0.00    0.00    0.00    0.00    0.00    0.00  203.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 9     0.00    0.00    0.00    0.00    0.00   89.14    0.00    0.00    0.00    0.00    0.00    0.00  356.03    0.00
10     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11     0.00  161.76    0.00  146.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12     0.00    0.00    0.00    0.00  435.80  310.58    0.00    0.00    0.00  356.03    0.00    0.00    0.00    0.00
13     0.00    0.00    0.00    0.00    0.00    0.00  171.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
