Adjacency Matrix (14x14):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13
 0     0.00  144.93    0.00  161.45  342.07    0.00    0.00    0.00    0.00    0.00  255.18    0.00  448.04    0.00
 1   144.93    0.00    0.00  116.16    0.00  192.21    0.00    0.00  300.67  137.23  241.87  161.76  314.84    0.00
 2     0.00    0.00    0.00  373.47    0.00  435.16  161.77  372.98    0.00    0.00    0.00    0.00  322.77    0.00
 3   161.45  116.16  373.47    0.00  378.93   77.47    0.00    0.00    0.00    0.00    0.00  146.11    0.00  120.10
 4   342.07    0.00    0.00  378.93    0.00  453.13  213.25  437.07    0.00  398.02    0.00  359.07  435.80  378.11
 5     0.00  192.21  435.16   77.47  453.13    0.00  273.39    0.00  473.78   89.14    0.00    0.00  310.58    0.00
 6     0.00    0.00  161.77    0.00  213.25  273.39    0.00  225.89  203.21    0.00    0.00    0.00  239.10    0.00
 7     0.00    0.00  372.98    0.00  437.07    0.00  225.89    0.00    0.00    0.00  457.42    0.00    0.00    0.00
 8     0.00  300.67    0.00    0.00    0.00  473.78  203.21    0.00    0.00    0.00  249.91  346.28  380.27    0.00
 9     0.00  137.23    0.00    0.00  398.02   89.14    0.00    0.00    0.00    0.00  351.76  193.40    0.00  166.77
10   255.18  241.87    0.00    0.00    0.00    0.00    0.00  457.42  249.91  351.76    0.00    0.00  505.10  393.69
11     0.00  161.76    0.00  146.11  359.07    0.00    0.00    0.00  346.28  193.40    0.00    0.00    0.00    0.00
12   448.04  314.84  322.77    0.00  435.80  310.58  239.10    0.00  380.27    0.00  505.10    0.00    0.00  189.28
13     0.00    0.00    0.00  120.10  378.11    0.00    0.00    0.00    0.00  166.77  393.69    0.00  189.28    0.00
