Adjacency Matrix (15x15):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14
 0     0.00    0.00    0.00    0.00    0.00  140.55    0.00    0.00    0.00  334.43    0.00    0.00    0.00    0.00  349.73
 1     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2     0.00    0.00    0.00  368.01    0.00    0.00    0.00    0.00    0.00  107.90    0.00    0.00    0.00    0.00    0.00
 3     0.00    0.00  368.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  239.01    0.00
 4     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  462.47    0.00    0.00
 5   140.55    0.00    0.00    0.00    0.00    0.00    0.00    0.00  317.19    0.00    0.00    0.00    0.00    0.00    0.00
 6     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  286.34    0.00    0.00    0.00    0.00
 7     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  199.06    0.00    0.00    0.00    0.00
 8     0.00    0.00    0.00    0.00    0.00  317.19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 9   334.43    0.00  107.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   70.01
10     0.00    0.00    0.00    0.00    0.00    0.00  286.34  199.06    0.00    0.00    0.00    0.00  298.56   57.56    0.00
11     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12     0.00    0.00    0.00    0.00  462.47    0.00    0.00    0.00    0.00    0.00  298.56    0.00    0.00    0.00    0.00
13     0.00    0.00    0.00  239.01    0.00    0.00    0.00    0.00    0.00    0.00   57.56    0.00    0.00    0.00    0.00
14   349.73    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   70.01    0.00    0.00    0.00    0.00    0.00
