Adjacency Matrix (15x15):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14
 0     0.00    0.00  234.18  152.07  344.68    0.00    0.00  127.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1     0.00    0.00  141.15  339.73    0.00    0.00    0.00  314.16    0.00  242.24    0.00    0.00  283.58    0.00    0.00
 2   234.18  141.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  451.24    0.00    0.00  418.04    0.00
 3   152.07  339.73    0.00    0.00  476.47    0.00    0.00    0.00    0.00    0.00  216.95    0.00    0.00    0.00    0.00
 4   344.68    0.00    0.00  476.47    0.00    0.00    0.00    0.00  263.05    0.00    0.00    0.00    0.00    0.00    0.00
 5     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  265.00    0.00    0.00    0.00    0.00
 6     0.00    0.00    0.00    0.00    0.00    0.00    0.00  344.83  178.76  399.96    0.00  436.74    0.00    0.00    0.00
 7   127.02  314.16    0.00    0.00    0.00    0.00  344.83    0.00    0.00    0.00    0.00  175.17    0.00    0.00    0.00
 8     0.00    0.00    0.00    0.00  263.05    0.00  178.76    0.00    0.00    0.00    0.00  408.90  330.68   60.54    0.00
 9     0.00  242.24    0.00    0.00    0.00    0.00  399.96    0.00    0.00    0.00    0.00  355.35    0.00    0.00    0.00
10     0.00    0.00  451.24  216.95    0.00  265.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11     0.00    0.00    0.00    0.00    0.00    0.00  436.74  175.17  408.90  355.35    0.00    0.00    0.00    0.00  403.45
12     0.00  283.58    0.00    0.00    0.00    0.00    0.00    0.00  330.68    0.00    0.00    0.00    0.00    0.00  388.21
13     0.00    0.00  418.04    0.00    0.00    0.00    0.00    0.00   60.54    0.00    0.00    0.00    0.00    0.00    0.00
14     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  403.45  388.21    0.00    0.00
