Adjacency Matrix (16x16):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15
 0     0.00    0.00  442.01    0.00    0.00    0.00  505.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00  459.16  264.17
 1     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  205.18    0.00
 2   442.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  120.02    0.00
 3     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 4     0.00    0.00    0.00    0.00    0.00    0.00  321.71    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 5     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.76    0.00    0.00    0.00    0.00    0.00
 6   505.62    0.00    0.00    0.00  321.71    0.00    0.00  288.51  159.76    0.00  154.06    0.00    0.00    0.00    0.00    0.00
 7     0.00    0.00    0.00    0.00    0.00    0.00  288.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 8     0.00    0.00    0.00    0.00    0.00    0.00  159.76    0.00    0.00    0.00    0.00    0.00    0.00  311.60    0.00    0.00
 9     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10     0.00    0.00    0.00    0.00    0.00   92.76  154.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00  305.68    0.00
11     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  316.36    0.00
12     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  331.39    0.00
13     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  311.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14   459.16  205.18  120.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00  305.68  316.36  331.39    0.00    0.00    0.00
15   264.17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
