Adjacency Matrix (16x16):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15
 0     0.00    0.00  442.01  163.60  319.13  436.23    0.00  220.59  544.45  434.06  414.70  315.25  509.51  341.12  459.16  264.17
 1     0.00    0.00  324.23  420.06  349.32  324.08   91.09  355.88  226.40  486.78    0.00  318.11  206.19  471.51    0.00    0.00
 2   442.01  324.23    0.00  355.69  123.58  490.37    0.00  281.82  479.81  616.60  400.96  386.80  441.49  553.01  120.02    0.00
 3   163.60  420.06  355.69    0.00    0.00    0.00  344.68   78.16  383.39  328.25  253.16  156.73    0.00    0.00  335.04    0.00
 4   319.13  349.32  123.58    0.00    0.00  422.30  321.71  170.55  446.45    0.00  342.22    0.00    0.00  454.23    0.00  206.82
 5   436.23  324.08  490.37    0.00  422.30    0.00  235.97    0.00  141.87    0.00   92.76  135.00  130.46  169.73  398.15  228.97
 6     0.00   91.09    0.00  344.68  321.71  235.97    0.00  288.51  159.76    0.00  154.06  229.68  129.40    0.00  213.22    0.00
 7   220.59  355.88  281.82   78.16  170.55    0.00  288.51    0.00  356.07  364.54  229.30  152.45    0.00  286.11  257.00    0.00
 8   544.45  226.40  479.81  383.39  446.45  141.87  159.76  356.07    0.00  292.75    0.00  229.47   41.05  311.60  367.79  297.06
 9   434.06  486.78  616.60  328.25    0.00    0.00    0.00  364.54  292.75    0.00  247.16  229.86    0.00   93.02  539.87    0.00
10   414.70    0.00  400.96  253.16  342.22   92.76  154.06  229.30    0.00  247.16    0.00  101.14    0.00  227.00    0.00  169.55
11   315.25  318.11  386.80  156.73    0.00  135.00  229.68  152.45  229.47  229.86  101.14    0.00  196.16  173.14  316.36    0.00
12   509.51  206.19  441.49    0.00    0.00  130.46  129.40    0.00   41.05    0.00    0.00  196.16    0.00    0.00  331.39  258.15
13   341.12  471.51  553.01    0.00  454.23  169.73    0.00  286.11  311.60   93.02  227.00  173.14    0.00    0.00  489.29  250.14
14   459.16    0.00  120.02  335.04    0.00  398.15  213.22  257.00  367.79  539.87    0.00  316.36  331.39  489.29    0.00  253.95
15   264.17    0.00    0.00    0.00  206.82  228.97    0.00    0.00  297.06    0.00  169.55    0.00  258.15  250.14  253.95    0.00
