Adjacency Matrix (17x17):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16
 0     0.00  231.52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 1   231.52    0.00    0.00    0.00    0.00    0.00    0.00  238.60    0.00  198.15  158.90    0.00    0.00    0.00    0.00    0.00    0.00
 2     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  406.21  240.80    0.00    0.00    0.00
 3     0.00    0.00    0.00    0.00    0.00    0.00  363.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00  323.01    0.00    0.00
 4     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  338.57    0.00    0.00  300.88    0.00    0.00  198.96
 5     0.00    0.00    0.00    0.00    0.00    0.00  113.22    0.00    0.00    0.00    0.00    0.00    0.00    0.00  313.97    0.00    0.00
 6     0.00    0.00    0.00  363.90    0.00  113.22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 7     0.00  238.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  194.62    0.00    0.00  308.51
 8     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  206.32
 9     0.00  198.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  226.11
10     0.00  158.90    0.00    0.00  338.57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12     0.00    0.00  406.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13     0.00    0.00  240.80    0.00  300.88    0.00    0.00  194.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14     0.00    0.00    0.00  323.01    0.00  313.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
15     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16     0.00    0.00    0.00    0.00  198.96    0.00    0.00  308.51  206.32  226.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
