Adjacency Matrix (17x17):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16
 0     0.00    0.00    0.00    0.00    0.00  229.73    0.00  233.19    0.00    0.00  173.53  172.59    0.00    0.00  350.08    0.00    0.00
 1     0.00    0.00    0.00  299.41    0.00    0.00    0.00    0.00    0.00    0.00    0.00  396.68    0.00   53.94    0.00    0.00    0.00
 2     0.00    0.00    0.00  405.71    0.00    0.00    0.00    0.00  144.01    0.00    0.00    0.00    0.00    0.00    0.00  170.85    0.00
 3     0.00  299.41  405.71    0.00    0.00    0.00    0.00  364.66  262.29    0.00  166.09    0.00    0.00    0.00  323.01    0.00   70.66
 4     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  160.12    0.00    0.00  212.00    0.00    0.00  513.02    0.00    0.00
 5   229.73    0.00    0.00    0.00    0.00    0.00    0.00  159.53  153.83    0.00    0.00    0.00    0.00    0.00    0.00   63.07    0.00
 6     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  463.76    0.00  115.41  235.59    0.00    0.00
 7   233.19    0.00    0.00  364.66    0.00  159.53    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 8     0.00    0.00  144.01  262.29  160.12  153.83    0.00    0.00    0.00    0.00    0.00    0.00  281.20    0.00  396.71  174.86  206.32
 9     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  250.53    0.00  288.18    0.00    0.00    0.00    0.00
10   173.53    0.00    0.00  166.09    0.00    0.00    0.00    0.00    0.00  250.53    0.00    0.00    0.00    0.00    0.00    0.00  188.10
11   172.59  396.68    0.00    0.00  212.00    0.00  463.76    0.00    0.00    0.00    0.00    0.00  329.30    0.00    0.00    0.00    0.00
12     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  281.20  288.18    0.00  329.30    0.00    0.00    0.00    0.00    0.00
13     0.00   53.94    0.00    0.00    0.00    0.00  115.41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14   350.08    0.00    0.00  323.01  513.02    0.00  235.59    0.00  396.71    0.00    0.00    0.00    0.00    0.00    0.00    0.00  360.90
15     0.00    0.00  170.85    0.00    0.00   63.07    0.00    0.00  174.86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
16     0.00    0.00    0.00   70.66    0.00    0.00    0.00    0.00  206.32    0.00  188.10    0.00    0.00    0.00  360.90    0.00    0.00
