Adjacency Matrix (18x18):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17
 0     0.00  163.98  172.05    0.00    0.00    0.00  333.35    0.00    0.00  184.95    0.00    0.00    0.00    0.00    0.00    0.00  168.96    0.00
 1   163.98    0.00    0.00  197.94    0.00  226.05  402.20    0.00    0.00    0.00  477.60  137.08    0.00    0.00    0.00    0.00    0.00    0.00
 2   172.05    0.00    0.00    0.00    0.00  242.40    0.00    0.00    0.00  345.28    0.00    0.00  536.99  301.94    0.00    0.00    0.00    0.00
 3     0.00  197.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  435.99  295.97    0.00    0.00    0.00  295.39    0.00  153.05
 4     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  165.47    0.00    0.00    0.00    0.00  375.72
 5     0.00  226.05  242.40    0.00    0.00    0.00  386.87    0.00    0.00  104.69    0.00    0.00    0.00  117.90    0.00    0.00    0.00    0.00
 6   333.35  402.20    0.00    0.00    0.00  386.87    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  344.69    0.00  307.61    0.00
 7     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   58.67    0.00    0.00  172.63    0.00    0.00    0.00
 8     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  157.99    0.00    0.00  161.15    0.00    0.00    0.00  285.27
 9   184.95    0.00  345.28    0.00    0.00  104.69    0.00    0.00    0.00    0.00  234.64  220.03    0.00    0.00    0.00    0.00    0.00    0.00
10     0.00  477.60    0.00  435.99    0.00    0.00    0.00    0.00  157.99  234.64    0.00    0.00    0.00    0.00  197.29    0.00  453.84  352.12
11     0.00  137.08    0.00  295.97    0.00    0.00    0.00   58.67    0.00  220.03    0.00    0.00    0.00  254.53    0.00    0.00    0.00    0.00
12     0.00    0.00  536.99    0.00  165.47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13     0.00    0.00  301.94    0.00    0.00  117.90    0.00    0.00  161.15    0.00    0.00  254.53    0.00    0.00    0.00  227.52    0.00    0.00
14     0.00    0.00    0.00    0.00    0.00    0.00  344.69  172.63    0.00    0.00  197.29    0.00    0.00    0.00    0.00    0.00    0.00  171.47
15     0.00    0.00    0.00  295.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  227.52    0.00    0.00    0.00    0.00
16   168.96    0.00    0.00    0.00    0.00    0.00  307.61    0.00    0.00    0.00  453.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00
17     0.00    0.00    0.00  153.05  375.72    0.00    0.00    0.00  285.27    0.00  352.12    0.00    0.00    0.00  171.47    0.00    0.00    0.00
