Adjacency Matrix (19x19):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18
 0     0.00    0.00  302.44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  388.31    0.00    0.00    0.00  229.06
 1     0.00    0.00    0.00    0.00    0.00  175.00    0.00    0.00  238.42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2   302.44    0.00    0.00    0.00  133.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 3     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 4     0.00    0.00  133.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 5     0.00  175.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   59.94    0.00    0.00    0.00    0.00  102.83    0.00    0.00
 6     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  243.03
 7     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   68.26    0.00    0.00   18.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 8     0.00  238.42    0.00    0.00    0.00    0.00    0.00   68.26    0.00    0.00    0.00   63.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 9     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  348.10    0.00    0.00  147.00    0.00    0.00   93.15
10     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11     0.00    0.00    0.00    0.00    0.00   59.94    0.00   18.60   63.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  348.10    0.00    0.00    0.00    0.00    0.00  436.74    0.00    0.00    0.00
13     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  198.50    0.00  117.10    0.00  195.88
14   388.31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  198.50    0.00    0.00    0.00  231.32    0.00
15     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  147.00    0.00    0.00  436.74    0.00    0.00    0.00    0.00    0.00    0.00
16     0.00    0.00    0.00    0.00    0.00  102.83    0.00    0.00    0.00    0.00    0.00    0.00    0.00  117.10    0.00    0.00    0.00  187.55    0.00
17     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  231.32    0.00  187.55    0.00    0.00
18   229.06    0.00    0.00    0.00    0.00    0.00  243.03    0.00    0.00   93.15    0.00    0.00    0.00  195.88    0.00    0.00    0.00    0.00    0.00
