Adjacency Matrix (19x19):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18
 0     0.00    0.00  302.44    0.00  255.31    0.00  246.29    0.00  191.66  158.32  437.06    0.00    0.00  269.16  388.31    0.00  310.64  172.41    0.00
 1     0.00    0.00    0.00  189.34  178.08  175.00  217.35    0.00  238.42    0.00    0.00  230.63   83.45  269.31  445.58  493.00  153.03  335.05  458.93
 2   302.44    0.00    0.00    0.00  133.60  179.03   83.93    0.00  154.78  183.15  189.02  212.45  185.87    0.00    0.00    0.00  101.55  139.62    0.00
 3     0.00  189.34    0.00    0.00    0.00  270.28  231.21  313.86    0.00  373.88  259.86  327.57    0.00  226.81    0.00  426.55    0.00  328.12  412.91
 4   255.31  178.08  133.60    0.00    0.00   45.49   56.94    0.00    0.00  212.04  322.62   91.05  163.25  131.21  329.69  334.97   65.12  162.11  293.07
 5     0.00  175.00  179.03  270.28   45.49    0.00    0.00   43.97    0.00  236.61    0.00   59.94  181.57    0.00  373.12  368.57  102.83  189.72  323.20
 6   246.29  217.35   83.93  231.21   56.94    0.00    0.00  124.91    0.00    0.00  271.15  128.51  181.47    0.00  273.36    0.00   70.33    0.00  243.03
 7     0.00    0.00    0.00  313.86    0.00   43.97  124.91    0.00   68.26  230.67  395.99   18.60  225.11  197.63  392.55  370.82  144.00    0.00  321.62
 8   191.66  238.42  154.78    0.00    0.00    0.00    0.00   68.26    0.00  166.60  336.81   63.70  226.63    0.00  326.91  303.43  122.59  122.07    0.00
 9   158.32    0.00  183.15  373.88  212.04  236.61    0.00  230.67  166.60    0.00  281.71  219.46  348.10  147.14  230.06  147.00  238.65    0.00   93.15
10   437.06    0.00  189.02  259.86  322.62    0.00  271.15  395.99  336.81  281.71    0.00  398.18  325.33  199.92   88.09  235.87  282.18  267.58  255.79
11     0.00  230.63  212.45  327.57   91.05   59.94  128.51   18.60   63.70  219.46  398.18    0.00    0.00  198.60  390.59  361.81  155.72  180.29  311.41
12     0.00   83.45  185.87    0.00  163.25  181.57  181.47  225.11  226.63  348.10  325.33    0.00    0.00  213.79  372.47  436.74  111.22  297.41  409.40
13   269.16  269.31    0.00  226.81  131.21    0.00    0.00  197.63    0.00  147.14  199.92  198.60  213.79    0.00    0.00    0.00    0.00  103.73  195.88
14   388.31  445.58    0.00    0.00  329.69  373.12  273.36  392.55  326.91  230.06   88.09  390.59  372.47    0.00    0.00  152.50  305.03  231.32    0.00
15     0.00  493.00    0.00  426.55  334.97  368.57    0.00  370.82  303.43  147.00  235.87  361.81  436.74    0.00  152.50    0.00  340.02  181.75   56.08
16   310.64  153.03  101.55    0.00   65.12  102.83   70.33  144.00  122.59  238.65  282.18  155.72  111.22    0.00  305.03  340.02    0.00  187.55  306.49
17   172.41  335.05  139.62  328.12  162.11  189.72    0.00    0.00  122.07    0.00  267.58  180.29  297.41  103.73  231.32  181.75  187.55    0.00  133.65
18     0.00  458.93    0.00  412.91  293.07  323.20  243.03  321.62    0.00   93.15  255.79  311.41  409.40  195.88    0.00   56.08  306.49  133.65    0.00
