Adjacency Matrix (20x20):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19
 0     0.00    0.00    0.00  334.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00  250.59    0.00    0.00    0.00    0.00    0.00   75.96    0.00    0.00
 1     0.00    0.00    0.00  229.58  163.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  308.16    0.00    0.00    0.00
 2     0.00    0.00    0.00    0.00    0.00  314.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 3   334.34  229.58    0.00    0.00    0.00   45.40    0.00    0.00    0.00    0.00    0.00    0.00  291.53    0.00    0.00    0.00  168.93    0.00    0.00    0.00
 4     0.00  163.99    0.00    0.00    0.00  315.69    0.00    0.00    0.00  161.45    0.00    0.00    0.00    0.00    0.00  112.15    0.00    0.00    0.00    0.00
 5     0.00    0.00  314.20   45.40  315.69    0.00    0.00  144.59    0.00    0.00    0.00  187.76    0.00    0.00    0.00    0.00    0.00    0.00  256.81    0.00
 6     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  129.87    0.00  317.40    0.00  323.79    0.00    0.00    0.00    0.00    0.00
 7     0.00    0.00    0.00    0.00    0.00  144.59    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 8     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 9     0.00    0.00    0.00    0.00  161.45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10     0.00    0.00    0.00    0.00    0.00    0.00  129.87    0.00    0.00    0.00    0.00    0.00  197.27    0.00    0.00    0.00    0.00  285.24    0.00    0.00
11   250.59    0.00    0.00    0.00    0.00  187.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  277.91    0.00    0.00    0.00
12     0.00    0.00    0.00  291.53    0.00    0.00  317.40    0.00    0.00    0.00  197.27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
14     0.00    0.00    0.00    0.00    0.00    0.00  323.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  227.86    0.00    0.00    0.00    0.00
15     0.00    0.00    0.00    0.00  112.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  227.86    0.00    0.00    0.00    0.00    0.00
16     0.00  308.16    0.00  168.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00  277.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
17    75.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  285.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18     0.00    0.00    0.00    0.00    0.00  256.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
