Adjacency Matrix (20x20):
          0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19
 0     0.00    0.00    0.00    0.00  151.21    0.00  210.24    0.00  365.92   42.19  209.88    0.00  259.68    0.00    0.00    0.00    0.00   75.96    0.00  101.40
 1     0.00    0.00    0.00  229.58    0.00    0.00    0.00    0.00  406.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  352.09
 2     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  463.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00  353.99    0.00    0.00  250.23
 3     0.00  229.58    0.00    0.00    0.00   45.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  296.12    0.00
 4   151.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  257.50    0.00    0.00    0.00  282.29  112.15  344.22    0.00    0.00    0.00
 5     0.00    0.00    0.00   45.40    0.00    0.00  155.19    0.00    0.00  252.11    0.00  187.76    0.00    0.00  360.09    0.00    0.00    0.00    0.00    0.00
 6   210.24    0.00    0.00    0.00    0.00  155.19    0.00  299.67    0.00    0.00  129.87    0.00    0.00  261.84  323.79  265.05  229.16    0.00  164.75    0.00
 7     0.00    0.00    0.00    0.00    0.00    0.00  299.67    0.00  123.94    0.00    0.00  330.80    0.00    0.00  436.96    0.00  158.66  478.83    0.00  488.80
 8   365.92  406.00  463.34    0.00    0.00    0.00    0.00  123.94    0.00    0.00  203.21    0.00  154.99    0.00  359.98  491.47    0.00    0.00    0.00    0.00
 9    42.19    0.00    0.00    0.00    0.00  252.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10   209.88    0.00    0.00    0.00  257.50    0.00  129.87    0.00  203.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  285.24  177.23    0.00
11     0.00    0.00    0.00    0.00    0.00  187.76    0.00  330.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12   259.68    0.00    0.00    0.00    0.00    0.00    0.00    0.00  154.99    0.00    0.00    0.00    0.00    0.00  215.26    0.00    0.00    0.00    0.00    0.00
13     0.00    0.00    0.00    0.00    0.00    0.00  261.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  257.93    0.00    0.00    0.00
14     0.00    0.00    0.00    0.00  282.29  360.09  323.79  436.96  359.98    0.00    0.00    0.00  215.26    0.00    0.00  227.86  278.35    0.00    0.00    0.00
15     0.00    0.00    0.00    0.00  112.15    0.00  265.05    0.00  491.47    0.00    0.00    0.00    0.00    0.00  227.86    0.00    0.00    0.00    0.00    0.00
16     0.00    0.00  353.99    0.00  344.22    0.00  229.16  158.66    0.00    0.00    0.00    0.00    0.00  257.93  278.35    0.00    0.00    0.00    0.00    0.00
17    75.96    0.00    0.00    0.00    0.00    0.00    0.00  478.83    0.00    0.00  285.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18     0.00    0.00    0.00  296.12    0.00    0.00  164.75    0.00    0.00    0.00  177.23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19   101.40  352.09  250.23    0.00    0.00    0.00    0.00  488.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
