graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n11_d25_adj_matrix,random,0,1413.28,2.0000211000005947,39,7,293160,0,time_limit
graph_n11_d25_adj_matrix,random,1,1413.28,2.000020289000531,89,7,243352,0,time_limit
graph_n11_d25_adj_matrix,random,2,1413.28,2.0000249260010605,50,1,268925,0,time_limit
graph_n11_d25_adj_matrix,greedy,0,1347.35,2.0000181779996637,2,1,240096,0,time_limit
graph_n11_d25_adj_matrix,greedy,1,1377.22,2.000018134000129,2,1,255751,0,time_limit
graph_n11_d25_adj_matrix,greedy,2,1377.22,2.0000180900005944,2,1,272246,0,time_limit
graph_n11_d25_adj_matrix,local,0,1413.28,2.0007487219991162,3,1,1133,0,time_limit
graph_n11_d25_adj_matrix,local,1,1413.28,2.0006806519995735,3,1,1013,0,time_limit
graph_n11_d25_adj_matrix,local,2,1413.28,2.001278515001104,3,1,1139,0,time_limit
graph_n11_d50_adj_matrix,random,0,1465.12,2.000022728998374,104,2,206767,0,time_limit
graph_n11_d50_adj_matrix,random,1,1510.6399999999999,2.000026314999559,117,2,227225,0,time_limit
graph_n11_d50_adj_matrix,random,2,1602.76,0.004978895000022021,400,5,68,0,max_candidates
graph_n11_d50_adj_matrix,greedy,0,1602.76,2.000023125001462,26,3,173481,0,time_limit
graph_n11_d50_adj_matrix,greedy,1,1602.76,2.0000220999991143,44,3,194417,0,time_limit
graph_n11_d50_adj_matrix,greedy,2,1519.52,2.000023729999157,40,2,202907,0,time_limit
graph_n11_d50_adj_matrix,local,0,1606.93,2.000629972000752,19,4,948,0,time_limit
graph_n11_d50_adj_matrix,local,1,1606.93,2.0011632999994617,17,2,1007,0,time_limit
graph_n11_d50_adj_matrix,local,2,1606.93,2.001824087999921,22,4,942,0,time_limit
graph_n13_d12.5_adj_matrix,random,0,1419.29,2.0000202559986064,26,3,361881,0,time_limit
graph_n13_d12.5_adj_matrix,random,1,1419.29,2.000014410001313,17,3,329664,0,time_limit
graph_n13_d12.5_adj_matrix,random,2,1419.29,2.000028189000659,13,3,274016,0,time_limit
graph_n13_d12.5_adj_matrix,greedy,0,1419.29,2.0000128440005938,1,1,326499,0,time_limit
graph_n13_d12.5_adj_matrix,greedy,1,1419.29,2.000013143000615,1,1,327896,0,time_limit
graph_n13_d12.5_adj_matrix,greedy,2,1419.29,2.000012673999663,1,1,329827,0,time_limit
graph_n13_d12.5_adj_matrix,local,0,1419.29,2.000300577999951,1,1,1063,0,time_limit
graph_n13_d12.5_adj_matrix,local,1,1419.29,2.00003380400085,1,1,1066,0,time_limit
graph_n13_d12.5_adj_matrix,local,2,1419.29,2.0005766970007244,1,1,1039,0,time_limit
graph_n18_d12.5_adj_matrix,random,0,2215.7400000000002,2.0000344699983543,247,5,214508,0,time_limit
graph_n18_d12.5_adj_matrix,random,1,2215.7400000000002,2.000027013998988,206,9,218585,0,time_limit
graph_n18_d12.5_adj_matrix,random,2,2215.7400000000002,0.00425164400076028,400,5,71,0,max_candidates
graph_n18_d12.5_adj_matrix,greedy,0,2215.7400000000002,2.0000187209989235,16,1,234482,0,time_limit
graph_n18_d12.5_adj_matrix,greedy,1,2215.7400000000002,2.0000246740000875,15,3,232025,0,time_limit
graph_n18_d12.5_adj_matrix,greedy,2,2215.7400000000002,2.0000143550005305,13,1,236266,0,time_limit
graph_n18_d12.5_adj_matrix,local,0,2215.7400000000002,2.001913140000397,3,1,709,0,time_limit
graph_n18_d12.5_adj_matrix,local,1,2215.7400000000002,2.0023518279995187,3,1,793,0,time_limit
graph_n18_d12.5_adj_matrix,local,2,2215.7400000000002,2.0003184209999745,3,1,728,0,time_limit
graph_n16_d12.5_adj_matrix,random,0,1406.71,2.0000290269999823,92,5,341971,0,time_limit
graph_n16_d12.5_adj_matrix,random,1,1499.47,2.0000170299990714,48,2,249122,0,time_limit
graph_n16_d12.5_adj_matrix,random,2,1499.47,2.0000202560004254,69,5,245593,0,time_limit
graph_n16_d12.5_adj_matrix,greedy,0,1406.71,2.0000200619997486,23,2,239027,0,time_limit
graph_n16_d12.5_adj_matrix,greedy,1,1499.47,2.000024057000701,16,4,251704,0,time_limit
graph_n16_d12.5_adj_matrix,greedy,2,1391.68,2.000040971999624,36,4,287592,0,time_limit
graph_n16_d12.5_adj_matrix,local,0,1499.47,2.0014065180002945,1,1,935,0,time_limit
graph_n16_d12.5_adj_matrix,local,1,1499.47,2.000793187000454,2,1,895,0,time_limit
graph_n16_d12.5_adj_matrix,local,2,1499.47,2.000429466999776,4,1,968,0,time_limit
graph_n14_d12.5_adj_matrix,random,0,873.0699999999999,2.00002216699977,66,4,315670,0,time_limit
graph_n14_d12.5_adj_matrix,random,1,1053.79,2.000022040001568,39,4,275516,0,time_limit
graph_n14_d12.5_adj_matrix,random,2,1053.79,2.000021492000087,55,7,259418,0,time_limit
graph_n14_d12.5_adj_matrix,greedy,0,1034.83,2.0000208049987123,4,1,292530,0,time_limit
graph_n14_d12.5_adj_matrix,greedy,1,1034.83,2.000015858000552,4,1,283591,0,time_limit
graph_n14_d12.5_adj_matrix,greedy,2,1034.83,2.000013353999748,4,1,283390,0,time_limit
graph_n14_d12.5_adj_matrix,local,0,1053.79,2.0007686270000704,1,1,1012,0,time_limit
graph_n14_d12.5_adj_matrix,local,1,1053.79,2.0010867640012293,1,1,1016,0,time_limit
graph_n14_d12.5_adj_matrix,local,2,1053.79,2.0011938410007133,1,1,1016,0,time_limit
graph_n9_d75_adj_matrix,random,0,1193.28,2.0000276419996226,293,3,200979,0,time_limit
graph_n9_d75_adj_matrix,random,1,1193.28,0.0070943230002740165,400,8,223,0,max_candidates
graph_n9_d75_adj_matrix,random,2,1193.28,2.000032681000448,115,7,215413,0,time_limit
graph_n9_d75_adj_matrix,greedy,0,1193.28,2.000015858999177,20,4,196866,0,time_limit
graph_n9_d75_adj_matrix,greedy,1,1193.19,2.0000207560005947,20,3,196687,0,time_limit
graph_n9_d75_adj_matrix,greedy,2,1193.28,2.000020344999939,12,3,174441,0,time_limit
graph_n9_d75_adj_matrix,local,0,1193.28,2.001112040999942,23,2,1060,0,time_limit
graph_n9_d75_adj_matrix,local,1,1193.28,2.001023978000376,16,1,1014,0,time_limit
graph_n9_d75_adj_matrix,local,2,1193.28,2.0009321449997515,20,1,1093,0,time_limit
graph_n15_d75_adj_matrix,random,0,2650.23,0.00892583899985766,400,4,9,0,max_candidates
graph_n15_d75_adj_matrix,random,1,2965.4,0.009099324000999331,400,5,0,0,max_candidates
graph_n15_d75_adj_matrix,random,2,2818.11,0.008629642999949283,400,4,1,0,max_candidates
graph_n15_d75_adj_matrix,greedy,0,3001.6,2.000081697000496,204,2,91287,0,time_limit
graph_n15_d75_adj_matrix,greedy,1,3030.98,2.000070109999797,376,3,73720,0,time_limit
graph_n15_d75_adj_matrix,greedy,2,3030.98,2.000038827998651,131,3,92355,0,time_limit
