graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n11_d25_adj_matrix,random,0,1413.28,2.000026114999855,41,4,272632,0,time_limit
graph_n11_d25_adj_matrix,random,1,1413.28,2.0000214490009967,61,5,286573,0,time_limit
graph_n11_d25_adj_matrix,random,2,1413.28,2.0000204839998332,39,6,262096,0,time_limit
graph_n11_d25_adj_matrix,greedy,0,1377.22,2.0000149100014823,2,1,260759,0,time_limit
graph_n11_d25_adj_matrix,greedy,1,1347.35,2.0000209999998333,2,1,287022,0,time_limit
graph_n11_d25_adj_matrix,greedy,2,1347.35,2.000023388000045,2,1,262058,0,time_limit
graph_n11_d25_adj_matrix,local,0,1413.28,2.0009852620005404,3,1,995,0,time_limit
graph_n11_d25_adj_matrix,local,1,1413.28,2.001249207998626,3,1,1109,0,time_limit
graph_n11_d25_adj_matrix,local,2,1413.28,2.000049829001,3,1,1111,0,time_limit
graph_n11_d50_adj_matrix,random,0,1602.76,0.0059481400003278395,400,5,69,0,max_candidates
graph_n11_d50_adj_matrix,random,1,1534.33,2.00003210199975,127,1,223420,0,time_limit
graph_n11_d50_adj_matrix,random,2,1602.76,0.011326511999868671,400,7,585,0,max_candidates
graph_n11_d50_adj_matrix,greedy,0,1602.76,2.0000210810012504,39,4,178954,0,time_limit
graph_n11_d50_adj_matrix,greedy,1,1606.93,2.0000145279991557,25,4,175374,0,time_limit
graph_n11_d50_adj_matrix,greedy,2,1602.76,2.000022573000024,46,4,192205,0,time_limit
graph_n11_d50_adj_matrix,local,0,1606.93,2.000867881000886,19,1,982,0,time_limit
graph_n11_d50_adj_matrix,local,1,1606.93,2.0005247620010778,18,1,935,0,time_limit
graph_n11_d50_adj_matrix,local,2,1606.93,2.001550749000671,17,2,994,0,time_limit
graph_n13_d12.5_adj_matrix,random,0,1419.29,2.0000221360005526,17,5,306546,0,time_limit
graph_n13_d12.5_adj_matrix,random,1,1419.29,2.0000198439993255,15,2,288914,0,time_limit
graph_n13_d12.5_adj_matrix,random,2,1419.29,2.0000160160016094,17,2,294805,0,time_limit
graph_n13_d12.5_adj_matrix,greedy,0,1419.29,2.0000160279996635,1,1,296459,0,time_limit
graph_n13_d12.5_adj_matrix,greedy,1,1419.29,2.000018065999029,1,1,291054,0,time_limit
graph_n13_d12.5_adj_matrix,greedy,2,1419.29,2.000019406001229,1,1,319241,0,time_limit
graph_n13_d12.5_adj_matrix,local,0,1419.29,2.001324412000031,1,1,1072,0,time_limit
graph_n13_d12.5_adj_matrix,local,1,1419.29,2.001421922999725,1,1,992,0,time_limit
graph_n13_d12.5_adj_matrix,local,2,1419.29,2.0019728469997062,1,1,1055,0,time_limit
graph_n18_d12.5_adj_matrix,random,0,2174.69,2.000036776998968,325,9,254635,0,time_limit
graph_n18_d12.5_adj_matrix,random,1,2215.7400000000002,2.0000237290005316,190,4,211549,0,time_limit
